Method,Group,Value,Family,Outcome,Label,Direction,Threshold,Model,Fold
Impurity,Industry,0.08372778639959406,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,3
Impurity,Geography,0.06459564234837095,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,3
Permutation,Income,0.12176338077354512,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,3
Permutation,Wealth,-0.013224595268687156,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,3
Permutation,Education,0.0038573288679875084,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,3
Permutation,Demographics,0.002965477326440741,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,3
Permutation,Family / employment,0.004753232952413838,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,3
Permutation,Occupation,-0.000877779584792937,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,3
Permutation,Industry,-0.005035327044631127,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,3
Permutation,Geography,-0.0046965229625827885,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,3
SHAP,Income,0.2853667511437786,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,3
SHAP,Wealth,0.068084446914509,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,3
SHAP,Education,0.04584193864445314,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,3
SHAP,Demographics,0.15285340481351128,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,3
SHAP,Family / employment,0.11285674466424347,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,3
SHAP,Occupation,0.12045320113024184,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,3
SHAP,Industry,0.11876400304702436,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,3
SHAP,Geography,0.0957795096422382,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,3
Impurity,Income,0.5188644225877428,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,4
Impurity,Wealth,0.048323398446409004,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,4
Impurity,Education,0.04415067634091966,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,4
Impurity,Demographics,0.14709467998748962,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,4
Impurity,Family / employment,0.08477764107434417,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,4
Impurity,Occupation,0.04761094298911246,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,4
Impurity,Industry,0.08026582918369385,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,4
Impurity,Geography,0.028912409390288545,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,4
Permutation,Income,0.16907738073940465,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,4
Permutation,Wealth,0.00340332616419185,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,4
Permutation,Education,-0.0010323412868449566,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,4
Permutation,Demographics,0.026108915096614654,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,4
Permutation,Family / employment,0.008054446785676489,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,4
Permutation,Occupation,-0.004355424810702546,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,4
Permutation,Industry,-6.804164299625826e-05,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,4
Permutation,Geography,0.009565907125833755,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,4
SHAP,Income,0.3416572647193334,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,4
SHAP,Wealth,0.02664607717847503,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,4
SHAP,Education,0.054486044419329346,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,4
SHAP,Demographics,0.18881518370019612,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,4
