Family,Outcome,Label,Model,Fold,InnerAUC,BestParameters
Parent-child absolute,I1,Up $5k,Random Forest,5,0.7311775213317163,"{""n_estimators"": 250, ""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""criterion"": ""entropy""}"
Parent-child absolute,I1,Up $5k,Gradient Boosting,1,0.7317320166675088,"{""n_estimators"": 250, ""learning_rate"": 0.03, ""max_depth"": 3, ""max_features"": null, ""min_samples_leaf"": 10, ""subsample"": 0.8}"
Parent-child absolute,I1,Up $5k,Gradient Boosting,2,0.720077164903323,"{""n_estimators"": 250, ""learning_rate"": 0.03, ""max_depth"": 3, ""max_features"": null, ""min_samples_leaf"": 10, ""subsample"": 0.8}"
Parent-child absolute,I1,Up $5k,Gradient Boosting,3,0.7241191140856001,"{""n_estimators"": 250, ""learning_rate"": 0.03, ""max_depth"": 2, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10, ""subsample"": 1.0}"
Parent-child absolute,I1,Up $5k,Gradient Boosting,4,0.715038449513053,"{""n_estimators"": 250, ""learning_rate"": 0.03, ""max_depth"": 2, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10, ""subsample"": 1.0}"
Parent-child absolute,I1,Up $5k,Gradient Boosting,5,0.7294070902690072,"{""n_estimators"": 250, ""learning_rate"": 0.03, ""max_depth"": 3, ""max_features"": null, ""min_samples_leaf"": 10, ""subsample"": 0.8}"
Parent-child absolute,I2,Up $10k,Random Forest,1,0.7145170433979908,"{""n_estimators"": 350, ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 10, ""criterion"": ""entropy""}"
Parent-child absolute,I2,Up $10k,Random Forest,2,0.7120837124480067,"{""n_estimators"": 250, ""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""criterion"": ""entropy""}"
Parent-child absolute,I2,Up $10k,Random Forest,3,0.7106980614566151,"{""n_estimators"": 250, ""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""criterion"": ""entropy""}"
Parent-child absolute,I2,Up $10k,Random Forest,4,0.7129185852613086,"{""n_estimators"": 350, ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 10, ""criterion"": ""entropy""}"
Parent-child absolute,I2,Up $10k,Random Forest,5,0.72375802810321,"{""n_estimators"": 250, ""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""criterion"": ""entropy""}"
Parent-child absolute,I2,Up $10k,Gradient Boosting,1,0.7055188691078321,"{""n_estimators"": 250, ""learning_rate"": 0.03, ""max_depth"": 3, ""max_features"": null, ""min_samples_leaf"": 10, ""subsample"": 0.8}"
Parent-child absolute,I2,Up $10k,Gradient Boosting,2,0.7124187831146567,"{""n_estimators"": 150, ""learning_rate"": 0.05, ""max_depth"": 2, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""subsample"": 1.0}"
