Family,Outcome,Label,Direction,Threshold,Model,Method,Group,Value,FoldSD,Rank
Benchmark,A4,Up $20k,Up,20000,Gradient Boosting,SHAP,Occupation,0.06712767726099077,0.023887519147681502,5.0
Benchmark,A4,Up $20k,Up,20000,Gradient Boosting,SHAP,Wealth,0.18904824416148952,0.026696667161441763,3.0
Benchmark,A4,Up $20k,Up,20000,Random Forest,Impurity,Demographics,0.2374379866498705,0.022327387753369718,3.0
Benchmark,A4,Up $20k,Up,20000,Random Forest,Impurity,Education,0.0882582271504209,0.005646071766022013,4.0
Benchmark,A4,Up $20k,Up,20000,Random Forest,Impurity,Family / employment,0.028083710653301897,0.004484397169743353,8.0
Benchmark,A4,Up $20k,Up,20000,Random Forest,Impurity,Geography,0.049805289995135095,0.010940279628984195,6.0
Benchmark,A4,Up $20k,Up,20000,Random Forest,Impurity,Income,0.24339452379005047,0.011996546241261332,1.0
Benchmark,A4,Up $20k,Up,20000,Random Forest,Impurity,Industry,0.04441323810638378,0.003998798165050279,7.0
Benchmark,A4,Up $20k,Up,20000,Random Forest,Impurity,Occupation,0.06701128208896331,0.005670330093698645,5.0
Benchmark,A4,Up $20k,Up,20000,Random Forest,Impurity,Wealth,0.24159574156587404,0.015814127437601234,2.0
Benchmark,A4,Up $20k,Up,20000,Random Forest,Permutation,Demographics,0.03992561725704579,0.006169079389369098,1.0
Benchmark,A4,Up $20k,Up,20000,Random Forest,Permutation,Education,0.011781356449476723,0.005753775969749755,4.0
Benchmark,A4,Up $20k,Up,20000,Random Forest,Permutation,Family / employment,-4.6230629108219305e-05,0.0023694752413267496,7.0
Benchmark,A4,Up $20k,Up,20000,Random Forest,Permutation,Geography,0.0009137192669449467,0.002713432176239959,5.0
Benchmark,A4,Up $20k,Up,20000,Random Forest,Permutation,Income,0.03611281900706448,0.009584706616320968,2.0
Benchmark,A4,Up $20k,Up,20000,Random Forest,Permutation,Industry,-0.0013937695741108836,0.0017592370130730009,8.0
Benchmark,A4,Up $20k,Up,20000,Random Forest,Permutation,Occupation,2.1594985479367368e-05,0.003862384443660296,6.0
Benchmark,A4,Up $20k,Up,20000,Random Forest,Permutation,Wealth,0.03346129746633423,0.017452063657746413,3.0
Benchmark,A4,Up $20k,Up,20000,Random Forest,SHAP,Demographics,0.2507057163651815,0.03087351686497227,1.0
Benchmark,A4,Up $20k,Up,20000,Random Forest,SHAP,Education,0.128210445022372,0.0106640917381529,4.0
Benchmark,A4,Up $20k,Up,20000,Random Forest,SHAP,Family / employment,0.029889284989470633,0.010150282279683506,8.0
Benchmark,A4,Up $20k,Up,20000,Random Forest,SHAP,Geography,0.06066418475702706,0.01825403730868067,6.0
Benchmark,A4,Up $20k,Up,20000,Random Forest,SHAP,Income,0.21038458536023028,0.02039233900700828,3.0
Benchmark,A4,Up $20k,Up,20000,Random Forest,SHAP,Industry,0.034856452193693196,0.007082388883511886,7.0
Benchmark,A4,Up $20k,Up,20000,Random Forest,SHAP,Occupation,0.06429474214170232,0.010104770246622737,5.0
Benchmark,A4,Up $20k,Up,20000,Random Forest,SHAP,Wealth,0.22099458917032297,0.019701975825744896,2.0
Benchmark,A5,Down $5k,Down,5000,Gradient Boosting,Impurity,Demographics,0.2422864900649156,0.030390112636823487,2.0
Benchmark,A5,Down $5k,Down,5000,Gradient Boosting,Impurity,Education,0.09267000108688121,0.02044176555396175,4.0
Benchmark,A5,Down $5k,Down,5000,Gradient Boosting,Impurity,Family / employment,0.013930815745418748,0.00718645142209697,8.0
